"id","winner","total_votes","name","x0001e","x0002e","x0003e","x0005e","x0006e","x0007e","x0008e","x0009e","x0010e","x0011e","x0012e","x0013e","x0014e","x0015e","x0016e","x0017e","x0018e","x0019e","x0020e","x0021e","x0022e","x0023e","x0024e","x0025e","x0026e","x0027e","x0029e","x0030e","x0031e","x0033e","x0034e","x0035e","x0036e","x0037e","x0038e","x0039e","x0040e","x0041e","x0042e","x0043e","x0044e","x0045e","x0046e","x0047e","x0048e","x0049e","x0050e","x0051e","x0052e","x0053e","x0054e","x0055e","x0056e","x0057e","x0058e","x0059e","x0060e","x0061e","x0062e","x0064e","x0065e","x0066e","x0067e","x0068e","x0069e","x0071e","x0072e","x0073e","x0074e","x0075e","x0076e","x0077e","x0078e","x0079e","x0080e","x0081e","x0082e","x0083e","x0084e","x0085e","x0086e","x0087e","x0088e","x0089e","c01_001e","c01_002e","c01_003e","c01_004e","c01_005e","c01_006e","c01_007e","c01_008e","c01_009e","c01_010e","c01_011e","c01_012e","c01_013e","c01_014e","c01_015e","c01_016e","c01_017e","c01_018e","c01_019e","c01_020e","c01_021e","c01_022e","c01_023e","c01_024e","c01_025e","c01_026e","c01_027e","income_per_cap_2016","income_per_cap_2017","income_per_cap_2018","income_per_cap_2019","income_per_cap_2020","gdp_2016","gdp_2017","gdp_2018","gdp_2019","gdp_2020","x2013_code"
351,"Trump",39885,"Cascade County, Montana",81576,41253,40323,5435,5252,4908,4420,5816,11694,9109,8837,5189,5731,8405,4559,2221,38,18359,65029,63217,60378,18753,15185,63217,31652,31565,15185,7060,8125,81576,77685,3891,77685,71145,1198,3406,0,497,0,87,684,76,241,197,18,11,104,37,57,26,31,0,0,1195,3891,625,1782,478,159,74743,2033,5450,1416,397,1644,3826,2512,382,243,689,77750,69287,1174,3208,670,57,36,3318,104,3214,39012,62729,31481,31248,7472,736,3073,3034,629,55745,1370,2854,17533,13223,5535,10323,4907,51521,15230,11694,11038,3387,9109,8542,3043,19757,18232,5023,15185,13709,3777,"43080","44512","46014","47303","50576","3442672","3720802","3866073","3840527","3802220",4
352,"Trump",5000,"Sublette County, Wyoming",9865,5554,4311,543,730,584,712,528,1022,1326,1196,716,639,1164,445,260,39.7,2268,7783,7597,7259,2127,1869,7597,4260,3337,1869,995,874,9865,9449,416,9449,9417,1,30,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,416,0,193,123,0,9833,5,227,124,0,96,723,662,53,0,8,9142,8748,1,30,1,0,0,362,42,320,6054,7404,4124,3280,829,81,415,329,4,6768,20,291,2080,1836,597,1471,473,6457,1944,1022,929,289,1326,1284,454,2551,2375,800,1869,1869,401,"51434","56145","60971","61618","62780","1044498","1238834","1246979","1038541","835239",6
353,"Trump",21442,"Lamar County, Texas",49705,23773,25932,3225,3139,3358,3174,2629,6244,5629,6316,3205,3177,5408,2990,1211,40.7,11833,39245,37872,36164,11438,9609,37872,17792,20080,9609,4138,5471,49705,47681,2024,47681,39645,6413,657,72,0,0,24,383,0,285,81,17,0,0,0,19,0,0,12,7,564,2024,663,638,163,38,41622,7222,1432,546,37,979,4007,3205,173,0,629,45698,36519,6409,633,380,12,11,1734,243,1491,22807,36764,17216,19548,3692,455,1689,1203,345,34180,1491,3269,11443,8582,2989,4375,2031,29420,6406,6244,5513,1217,5629,5008,1157,12698,11136,2268,9609,7763,1764,"39261","40843","41224","43454","46767","2472702","2620153","2814082","2779481","2619104",5
354,"Trump",13076,"Madison County, North Carolina",21608,10619,10989,983,1092,997,1517,1416,2414,2491,2700,1551,1630,2863,1557,397,44.6,3861,18246,17747,16612,5788,4817,17747,8680,9067,4817,2192,2625,21608,21088,520,21088,20496,320,72,52,0,0,0,107,1,26,1,7,0,70,2,0,0,0,0,0,93,520,75,162,20,13,20919,547,320,138,0,343,533,380,16,78,59,21075,20274,302,72,107,0,33,287,17,270,11067,17508,8493,9015,2144,253,710,1024,157,15603,602,1153,5012,3003,1139,2936,1758,13848,4694,2414,2313,812,2491,2217,837,5881,5211,1502,4817,4107,1543,"31703","33128","34630","37206","39775","397480","392792","424040","458894","463593",3
355,"Trump",4796,"Archer County, Texas",8754,4391,4363,467,510,549,560,476,907,1022,1155,753,580,948,582,245,44.2,1912,7134,6842,6528,2025,1775,6842,3382,3460,1775,805,970,8754,8548,206,8548,8269,96,128,24,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,40,206,24,103,29,0,8467,120,239,44,0,90,719,667,10,2,40,8035,7721,92,65,15,0,2,140,2,138,4176,6642,3257,3385,650,65,228,327,30,6192,179,410,2263,1535,424,892,489,5603,1381,907,871,186,1022,975,337,2488,2248,522,1775,1509,336,"47148","48733","50595","54894","57669","278637","289424","308524","300077","289220",4
357,"Trump",28089,"Wayne County, Pennsylvania",51268,27217,24051,2141,2295,2442,2555,2547,5819,5638,7077,4351,4121,7340,3473,1469,48.5,8503,43821,42765,41395,14741,12282,42765,22781,19984,12282,5895,6387,51268,50128,1140,50128,47687,1757,126,0,0,0,0,365,35,71,46,43,37,16,117,18,0,0,0,18,175,1140,191,306,176,12,48746,2010,474,621,46,590,2364,445,1280,24,615,48904,46245,1659,34,327,18,27,594,35,559,32381,42192,22387,19805,3477,644,1487,1051,295,39288,1048,2884,16644,7064,3533,4892,3223,35356,8115,5819,5411,1178,5638,5141,1163,15549,14301,3337,12282,10503,2437,"40292","41874","43993","45567","49187","1728642","1822493","1912412","1981242","1936747",6
358,"Trump",3436,"McCulloch County, Texas",7970,4168,3802,510,453,528,360,549,803,747,1076,512,615,1069,482,266,45.6,1755,6397,6215,6013,2189,1817,6215,3094,3121,1817,869,948,7970,7559,411,7559,6432,84,29,0,0,0,0,70,33,15,22,0,0,0,0,0,0,0,0,0,944,411,63,69,42,0,6831,147,110,112,0,1181,2606,2359,18,0,229,5364,4791,84,0,70,0,193,226,52,174,4335,5883,2958,2925,645,110,422,94,19,5570,532,562,1746,1425,321,621,363,4476,984,803,712,148,747,624,120,2203,1706,288,1817,1434,428,"35748","38278","40903","39901","42301","325770","377437","413537","369032","342004",6
359,"Trump",170372,"Escambia County, Florida",316691,156577,160114,19133,19105,17541,21432,25242,46631,35048,36511,22285,20315,31588,15634,6226,37.3,66245,257722,250446,234636,65859,53448,250446,122717,127729,53448,23413,30035,316691,297879,18812,297879,213089,69534,1116,159,0,54,16,9913,1155,1348,3138,432,445,2272,1123,478,43,154,95,186,3749,18812,5402,3392,3450,555,229885,77780,6113,15080,1636,7150,18403,7288,3733,1602,5780,298288,202168,68996,996,9483,426,602,15617,802,14815,142456,243973,119701,124272,36208,4404,11529,16127,4148,214238,5349,15298,57510,52437,25365,36968,21311,193591,58279,46631,43183,13216,35048,31430,10173,79111,71620,20852,53448,47358,14038,"39798","41715","42701","44739","47837","14798958","15671078","15900083","16587144","16836801",3
360,"Trump",39422,"Clearfield County, Pennsylvania",79466,41869,37597,3689,3988,4142,4003,4322,9493,9697,11702,6650,5474,8995,5313,1998,45.4,14444,66737,65022,62847,19432,16306,65022,34381,30641,16306,7384,8922,79466,77972,1494,77972,74908,2188,138,14,0,0,0,402,29,93,93,5,39,55,88,9,0,0,0,9,327,1494,428,119,209,7,76184,2727,330,703,77,1009,2383,816,750,153,664,77083,73652,1969,138,402,9,107,806,161,645,39321,63159,32682,30477,5700,599,3105,1470,526,59322,2380,4688,28665,7865,5772,6438,3514,52254,9952,9493,8433,2205,9697,8642,1842,23826,21497,3957,16306,13682,1948,"40461","41758","43923","45050","49517","2641027","2801177","2903688","3001603","2941937",5
361,"Biden",266729,"El Paso County, Texas",836915,413071,423844,62683,59824,66459,63917,69868,125980,104128,95464,45653,40993,57956,29545,14445,32.4,227515,635058,609400,570618,127072,101946,609400,297292,312108,101946,43506,58440,836915,735607,101308,735607,580085,26915,4685,152,0,321,28,10654,1942,2029,2397,607,1508,927,1244,1246,92,458,419,277,112022,101308,5858,2885,3518,171,676195,37304,10495,16977,2050,198163,691920,653754,7984,1420,28762,144995,98336,24122,2349,9433,1178,472,9105,366,8739,299067,515202,255415,259787,95236,10050,29839,48247,7100,514164,63370,44840,119067,117467,45877,82646,40897,405954,123543,125980,115212,32685,104128,90396,31721,182110,141860,42957,101946,58486,16180,"33129","34150","35660","37894","40768","28758872","29936008","31842840","33871987","33979542",3
363,"Trump",8341,"Appling County, Georgia",18428,9365,9063,1101,1536,1152,1386,915,2182,2154,2330,1259,1251,1909,877,376,39.9,4565,14300,13863,13152,3724,3162,13863,6842,7021,3162,1435,1727,18428,18035,393,18035,13601,3642,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,393,72,26,0,3,13980,3735,159,0,6,948,1834,1568,0,0,266,16594,12695,3637,121,0,0,21,120,6,114,8597,13276,6466,6810,1525,364,740,398,23,12338,926,1882,4628,2647,1082,589,584,9530,1173,2182,1859,264,2154,1851,213,4840,3622,478,3162,2198,218,"31793","33075","33411","35398","38878","1528881","1568237","1543708","1596760","1697748",6
364,"Trump",22443,"Chaves County, New Mexico",64912,32402,32510,4344,5064,4542,5319,4226,8379,7617,7346,3847,3994,5835,3020,1379,36.1,17122,49789,47790,44777,12420,10234,47790,23518,24272,10234,4637,5597,64912,59947,4965,59947,52297,1020,1033,39,0,237,0,676,78,7,273,33,67,144,74,6,0,0,6,0,4915,4965,246,261,52,14,56895,1360,1823,753,44,9263,37378,32805,238,21,4314,27534,24763,935,574,647,6,126,483,8,475,27385,43859,21195,22664,6373,1199,2916,1996,262,41417,4529,4017,11013,10721,3816,4922,2399,32871,7321,8379,6895,1367,7617,5987,1404,15187,12193,2381,10234,7796,2169,"36099","37612","38895","39757","42594","2010905","2012927","2079733","2149077","2111607",5
366,"Trump",18375,"Warren County, Missouri",35090,17370,17720,2178,2465,2214,2165,1927,4114,3989,4517,2551,2738,3654,2132,446,41.2,8289,27772,26801,25782,7845,6232,26801,13183,13618,6232,2945,3287,35090,33867,1223,33867,32172,646,198,27,0,0,0,210,0,0,56,2,31,115,6,11,0,0,11,0,630,1223,517,237,60,0,33395,1163,435,270,18,1032,1220,431,229,0,560,33870,31873,639,57,178,11,49,1063,242,821,15805,26707,13161,13546,2660,491,1019,1005,145,24141,794,1738,8908,5824,2182,3124,1571,21609,4695,4114,3598,634,3989,3684,1129,9806,8828,2006,6232,5499,926,"39467","40553","42503","44910","47227","790427","834157","892785","953208","953603",2
367,"Trump",37303,"Mason County, Washington",65326,33940,31386,3451,3570,3532,3470,3352,7652,7418,7292,5190,5416,9372,4136,1475,45.3,12613,54241,52713,50750,18008,14983,52713,27374,25339,14983,7183,7800,65326,60557,4769,60557,53800,492,1375,35,27,12,84,701,0,123,281,56,124,13,104,392,41,185,158,8,3797,4769,878,1995,654,13,58372,1542,3692,1561,654,4580,6687,3445,184,32,3026,58639,51805,373,1149,695,379,509,3729,28,3701,33784,50257,25947,24310,4762,1298,2073,1243,148,47951,1689,3288,15023,13474,5782,6123,2572,42974,8695,7652,6478,1077,7418,6183,1096,17898,16401,3082,14983,13912,3440,"39624","40891","42159","45120","48488","1540765","1530802","1724799","1749482","1746088",5
368,"Trump",30290,"Queen Anne's County, Maryland",50163,24958,25205,2531,2738,3506,2947,2673,5112,5756,7389,4208,3710,5615,2945,1033,44.7,10753,40631,39410,38030,11753,9593,39410,19360,20050,9593,4533,5060,50163,48297,1866,48297,43995,2961,52,13,0,0,0,549,0,185,241,28,95,0,0,13,13,0,0,0,727,1866,588,244,179,6,45798,3648,406,811,46,1450,2065,321,237,151,1356,48098,42850,2932,28,549,0,137,1602,481,1121,21363,38489,18905,19584,3642,342,1319,1349,632,35768,565,1850,10380,7001,2919,7708,5345,33353,13053,5112,4810,1829,5756,5431,2149,15307,14647,5765,9593,8465,3310,"59978","62716","64222","68447","71470","1714335","1879512","1903060","1986648","1904014",2
369,"Biden",52271,"Nash County, North Carolina",94287,45118,49169,5230,5776,5843,5848,6221,11145,10820,12739,6928,6510,10559,4320,2348,41.7,20680,76157,73607,70700,20833,17227,73607,34617,38990,17227,7362,9865,94287,92071,2216,92071,48456,38174,583,14,0,0,28,858,307,130,153,40,15,41,172,27,8,0,19,0,3973,2216,744,353,77,244,50062,39526,1321,1041,159,4486,6692,4843,749,30,1070,87595,46380,38088,503,858,27,65,1674,49,1625,43192,71032,33193,37839,8238,1310,2915,3360,653,65369,3158,5753,22188,12805,7623,9570,4272,56458,13842,11145,9791,1987,10820,9647,2805,26177,23079,5558,17227,13941,3492,"38647","39749","41448","44063","46885","6856260","5480315","5115356","5065550","5237072",4
370,"Trump",2678,"Harper County, Kansas",5506,2775,2731,368,339,417,379,201,578,617,549,357,458,624,404,215,42.5,1369,4312,4137,3974,1513,1243,4137,2062,2075,1243,540,703,5506,5401,105,5401,5196,10,83,25,0,20,0,25,2,0,0,0,23,0,0,17,0,0,0,17,70,105,37,48,0,2,5299,52,136,25,17,85,342,239,1,3,99,5164,4948,10,75,25,17,0,89,5,84,3164,4040,1981,2059,335,91,120,113,11,3802,105,250,1496,1079,249,371,252,3447,623,578,524,118,617,494,101,1364,1279,142,1243,1150,262,"42887","41889","45816","51444","57680","269380","273731","280910","300264","290757",6
371,"Trump",30970,"Grand Forks County, North Dakota",70243,36472,33771,4692,3819,4072,5546,10386,11852,7086,6307,3762,3796,5119,2572,1234,29.9,14716,57042,55527,49803,11293,8925,55527,28775,26752,8925,4033,4892,70243,67988,2255,67988,59944,2683,1868,7,1002,155,267,2001,300,307,292,97,190,64,751,411,379,32,0,0,1081,2255,472,781,418,27,61995,3396,2857,2629,513,1284,3160,2051,405,51,653,67083,58398,2601,1689,1992,411,233,1759,78,1681,33267,53255,27360,25895,13799,416,2930,8556,1897,41728,702,1216,9138,9560,6002,10077,5033,39810,15110,11852,11326,4723,7086,6870,3219,13865,13183,4614,8925,8431,2554,"46510","47471","49037","51236","55175","3963095","4113874","4077003","4244286","4243643",4
373,"Trump",4144,"Pepin County, Wisconsin",7261,3711,3550,400,454,413,363,380,695,766,933,612,626,897,541,181,46.8,1507,5913,5754,5550,2000,1619,5754,2923,2831,1619,800,819,7261,7203,58,7203,7097,24,21,0,18,0,0,27,11,3,6,0,0,0,7,6,0,6,0,0,28,58,4,39,9,0,7155,28,60,36,6,34,150,120,29,0,1,7111,6983,24,21,27,6,0,50,2,48,3691,5696,2888,2808,503,144,177,140,42,5251,170,314,2015,1075,624,745,308,4767,1053,695,624,134,766,711,195,2171,2016,444,1619,1416,280,"44513","46583","48141","49977","54569","258901","267876","274215","287800","307157",6
374,"Trump",49392,"LaPorte County, Indiana",110026,56673,53353,6500,6391,6704,6221,6927,14426,13524,14268,7707,7896,11705,5566,2191,40.3,23666,88992,86360,82932,24470,19462,86360,44645,41715,19462,8620,10842,110026,105293,4733,105293,90123,11736,319,25,11,0,0,744,116,52,247,53,57,14,205,26,0,13,13,0,2345,4733,2710,413,264,12,94653,14705,844,1015,27,3678,7510,5266,916,43,1285,102516,86458,11588,288,728,5,109,3340,292,3048,49231,84596,43557,41039,9077,1854,3956,2351,916,77283,2095,6174,30479,16718,7056,10057,4704,69014,14761,14426,12486,2610,13524,12144,2407,29871,27326,5825,19462,17058,3919,"38668","39804","41328","42076","45323","4006596","4065045","4373655","4259550","4078102",4
375,"Trump",2739,"Custer County, Idaho",4193,2117,2076,134,259,209,243,255,254,348,474,319,306,886,389,117,53,760,3570,3433,3281,1604,1392,3433,1737,1696,1392,738,654,4193,3724,469,3724,3629,6,23,5,0,3,1,3,0,0,0,0,3,0,0,0,0,0,0,0,63,469,0,320,1,0,4089,6,343,30,26,185,299,148,0,0,151,3894,3571,6,20,3,0,0,294,42,252,3252,3415,1730,1685,340,46,89,198,7,3093,61,272,737,758,347,810,108,2760,918,254,249,131,348,311,136,1099,1015,206,1392,1185,445,"42241","41222","41749","43419","47771","182533","162605","174922","173845","182053",6
377,"Biden",133867,"St. Louis city, Missouri",304709,147692,157017,19050,15082,15655,15527,20801,61317,40500,35229,19098,20838,25408,10873,5331,36,58226,252148,246483,235672,53712,41612,246483,117799,128684,41612,17600,24012,304709,295262,9447,295262,141519,139140,784,194,0,11,19,10266,1656,2423,646,194,742,2639,1966,112,55,0,12,45,3441,9447,3640,989,1727,272,150226,144081,2423,12739,217,5299,12530,7490,948,534,3558,292179,133869,138482,623,10221,71,1249,7664,343,7321,176955,236032,112028,124004,27889,2742,7797,12100,5250,218594,6938,17658,52868,45883,13848,44747,36652,193998,81399,61317,58294,32170,40500,36916,17350,75165,65012,21541,41612,33776,10338,"42103","43304","45592","48808","52085","28409121","28613631","30163691","31566454","30437074",1
378,"Trump",2126,"Winkler County, Texas",7822,4043,3779,585,653,660,914,466,715,1202,888,352,473,501,343,70,34.1,2305,5827,5517,4958,1104,914,5517,2838,2679,914,413,501,7822,6929,893,6929,6286,295,132,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,214,893,7,70,0,0,7167,302,202,1,13,1030,4809,4506,43,53,207,3013,2633,223,68,0,2,64,23,0,23,3066,4866,2453,2413,973,165,605,178,25,4544,561,853,1382,1124,191,330,103,3130,433,715,571,41,1202,805,100,1713,1233,190,914,521,102,"38467","49072","62170","66674","60555","548385","897810","1504209","1617526","1090689",6
380,"Trump",13709,"Juneau County, Wisconsin",26603,14241,12362,1329,1449,1609,1415,1234,2902,3196,3772,2221,2046,3213,1536,681,45.6,5343,21913,21260,20552,6525,5430,21260,11450,9810,5430,2611,2819,26603,26066,537,26066,24780,627,258,50,24,2,11,122,10,24,19,3,26,0,40,6,0,0,0,6,273,537,70,249,78,26,25275,758,567,204,14,358,855,437,111,53,254,25748,24300,620,249,122,6,10,441,51,390,15228,21041,11332,9709,1693,174,836,574,109,19567,481,1518,7882,4569,2185,2029,903,17568,2932,2902,2663,509,3196,2950,556,8039,7265,1110,5430,4690,757,"35834","37086","38451","40189","42982","904832","917687","931339","984507","963353",6
382,"Trump",4739,"Oregon County, Missouri",10561,5197,5364,603,671,694,629,467,1034,1053,1336,755,845,1364,867,243,46.5,2383,8412,8178,7913,2967,2474,8178,3969,4209,2474,1139,1335,10561,10312,249,10312,10079,10,140,2,0,0,0,38,0,0,8,17,0,13,0,5,0,0,0,5,40,249,2,220,14,0,10328,12,362,54,16,40,196,184,12,0,0,10365,9932,10,131,38,5,0,249,0,249,5466,8155,3954,4201,681,99,460,92,30,7497,499,584,3390,1544,364,607,509,6414,1116,1034,957,244,1053,926,176,2936,2554,259,2474,1977,437,"31020","32174","34280","37005","40775","215136","199823","214217","216987","209663",6
384,"Biden",10893,"Leflore County, Mississippi",28764,13551,15213,2334,2098,2308,2397,1930,3854,3229,3130,1590,1809,2358,1085,642,34.1,7966,21540,20798,19166,4975,4085,20798,9288,11510,4085,1667,2418,28764,28542,222,28542,6381,21473,0,0,0,0,0,171,7,36,55,0,0,73,0,0,0,0,0,0,517,222,52,7,16,0,6456,21672,7,191,3,657,766,620,0,0,146,27998,6272,21473,0,171,0,0,82,0,82,13092,20625,9178,11447,3101,609,577,1751,164,17697,1371,1599,6541,3598,1258,1927,1403,14727,3330,3854,3548,674,3229,3016,755,6529,5446,1232,4085,2717,669,"34236","35667","36454","38631","43521","1124684","1166786","1166329","1223080","1279686",5
385,"Biden",205877,"Solano County, California",444538,221230,223308,26764,27118,28254,26356,28744,65244,56445,55874,29927,29844,42684,18884,8400,38.3,98625,356980,345913,330792,87390,69968,345913,170756,175157,69968,31065,38903,444538,403199,41339,403199,225258,60991,2531,122,50,285,27,69169,4765,6797,45110,2352,1577,2699,5869,4212,351,1755,918,1188,41038,41339,5750,3533,10963,1064,259396,73962,9541,87839,8817,52083,119294,91484,4966,630,22214,325244,165326,59249,1497,67107,3884,2687,25494,800,24694,159055,313111,154890,158221,38611,4068,13837,18100,2606,307302,17306,17524,72495,84521,32315,56808,26333,272472,83141,65244,59284,16276,56445,48809,15124,115645,102808,31025,69968,61571,20716,"45652","46866","48781","51819","58406","22111772","22974997","25057904","29493037","30237360",3
388,"Biden",73423,"Skagit County, Washington",127442,63066,64376,7571,7682,7920,7231,7056,16054,15148,14552,8739,8990,15855,7818,2826,41.6,27742,103012,99700,95639,31903,26499,99700,48914,50786,26499,12340,14159,127442,121437,6005,121437,103604,1024,2416,51,30,145,47,2289,142,462,798,252,213,129,293,203,59,31,42,71,11901,6005,773,1550,1197,32,109216,2063,4412,4105,807,13548,23730,21035,632,196,1867,103712,93874,809,2042,2252,186,351,4198,385,3813,54317,93168,45566,47602,9718,1861,3614,3745,498,89982,3774,4686,23024,23685,10122,15766,8925,81522,24691,16054,14355,3255,15148,13496,4475,32281,29086,8339,26499,24585,8622,"47180","49098","51067","54843","58996","6447380","6742065","7297574","7166253","6567074",4
391,"Trump",20184,"Jasper County, Iowa",37032,19008,18024,2063,2323,2405,2171,1914,4446,4566,4839,2699,2575,3796,2320,915,41.8,8238,29681,28794,27679,8639,7031,28794,14776,14018,7031,3120,3911,37032,36188,844,36188,35237,555,86,6,0,0,15,211,7,110,14,2,15,21,42,0,0,0,0,0,99,844,126,137,117,26,35800,981,306,360,6,482,899,728,83,10,78,36133,34495,553,86,211,0,28,760,291,469,16337,28357,14570,13787,2638,272,1222,1012,132,26156,543,1076,10768,5517,3241,3536,1475,24537,5011,4446,4306,959,4566,4312,1208,10113,9572,1692,7031,6347,1152,"40111","40845","41364","43206","46341","1136884","1195856","1186109","1286394","1301622",5
392,"Trump",3366,"Refugio County, Texas",7015,3367,3648,460,387,488,498,341,822,691,844,509,436,875,495,169,43.7,1629,5538,5386,5142,1806,1539,5386,2600,2786,1539,662,877,7015,6449,566,6449,5634,410,14,9,0,0,0,13,11,2,0,0,0,0,0,0,0,0,0,0,378,566,196,138,15,0,6200,606,152,28,0,595,3563,3344,12,0,207,3452,2896,388,10,13,0,0,145,0,145,3725,5359,2594,2765,545,113,191,241,0,4841,288,554,1984,1025,454,385,151,3999,536,822,734,71,691,576,61,1789,1564,182,1539,1125,222,"41742","42567","45832","47999","49471","337277","367041","395487","362493","278315",6
395,"Trump",12287,"Decatur County, Indiana",26587,13247,13340,1728,1720,1745,1772,1734,3269,3141,3434,1998,1594,2560,1460,432,39.6,6379,20909,20208,19398,5406,4452,20208,10024,10184,4452,1993,2459,26587,26170,417,26170,25494,39,42,0,0,0,0,492,214,0,56,79,74,21,48,0,0,0,0,0,103,417,36,126,48,23,25888,100,266,540,0,285,550,359,28,0,163,26037,25159,39,0,492,0,87,260,25,235,11436,19893,9800,10093,2320,370,805,704,441,17888,563,926,8154,3151,1599,2354,1141,16399,3495,3269,3071,826,3141,2955,901,7026,6430,1210,4452,3943,558,"39523","40910","42460","45351","49285","1400258","1574172","1672738","1728715","1638093",5
396,"Trump",21148,"Monroe County, Illinois",34444,16967,17477,1957,1857,2482,2075,1626,3764,4487,4654,2893,2523,3413,1820,893,42.3,7663,27650,26781,25869,7524,6126,26781,13040,13741,6126,2767,3359,34444,34195,249,34195,33570,91,26,26,0,0,0,379,11,92,47,0,55,104,70,0,0,0,0,0,129,249,25,37,136,0,33819,116,63,515,0,180,550,529,0,0,21,33894,33156,91,26,379,0,44,198,0,198,14333,26693,13019,13674,2334,198,924,1112,100,24447,214,810,6427,5800,2258,5602,3336,23423,8938,3764,3585,2177,4487,4342,1995,10070,9927,3567,6126,5569,1199,"54430","55054","56766","58859","61273","924887","939838","956883","971799","937399",2
397,"Trump",60085,"Ontario County, New York",109774,53797,55977,5409,5930,6590,7242,6821,12163,12022,14876,8188,8577,13013,6036,2907,43.8,22088,90306,87686,83432,26676,21956,87686,42435,45251,21956,9853,12103,109774,107001,2773,107001,100964,2643,301,37,0,65,0,1456,288,380,115,18,231,17,407,27,0,27,0,0,1610,2773,989,338,338,6,103581,3890,774,1956,86,2557,5390,1210,2961,74,1145,104384,98238,2322,203,1456,27,139,1999,282,1717,51213,86024,41506,44518,9904,720,3562,4341,1281,77782,1807,3492,20342,13514,10772,15260,12595,72483,27855,12163,11367,4428,12022,11278,5627,31641,29774,11108,21956,20064,6692,"49110","51339","52086","55262","59177","5896492","6084435","6334334","6746332","6621835",2
399,"Biden",9681,"Sunflower County, Mississippi",25759,13581,12178,1429,1392,1901,1650,2007,4216,3284,3370,1726,1309,2088,972,415,36.3,5683,20682,20076,19024,4218,3475,20076,10807,9269,3475,1440,2035,25759,25532,227,25532,6297,19069,60,25,12,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,99,227,46,24,0,6,6508,19131,90,7,0,250,483,232,133,0,118,25276,6071,19046,60,7,0,8,84,21,63,9678,20038,10774,9264,2696,642,761,1180,113,17380,1217,3143,5606,3477,1073,1729,1135,13020,2864,4216,3194,501,3284,2667,738,6405,4841,915,3475,2318,710,"28639","28840","29039","29664","33938","682159","666283","670930","636446","709859",5
400,"Trump",4237,"Essex County, Vermont",6179,3093,3086,259,263,341,323,243,539,603,876,562,552,973,481,164,51.4,1067,5207,5112,4917,2017,1618,5112,2545,2567,1618,819,799,6179,6032,147,6032,5938,46,4,0,0,0,0,27,4,2,3,18,0,0,0,0,0,0,0,0,17,147,1,106,14,1,6084,52,111,45,0,42,86,41,7,0,38,6093,5869,46,4,27,0,4,143,21,122,5209,5071,2517,2554,362,58,162,131,11,4750,132,420,2079,797,446,467,409,4198,876,539,484,76,603,552,190,1990,1809,328,1618,1353,282,"34926","36983","38722","41733","45107","146989","155905","157818","159742","157996",5
401,"Trump",1817,"Tyrrell County, North Carolina",3978,2271,1707,91,206,168,108,355,487,461,690,239,272,392,394,115,46.7,537,3488,3441,3395,1041,901,3441,1987,1454,901,388,513,3978,3880,98,3880,2330,1422,24,13,0,0,0,19,0,0,19,0,0,0,0,0,0,0,0,0,85,98,59,14,0,0,2428,1481,38,19,0,110,175,135,7,0,33,3803,2270,1413,24,19,0,4,73,0,73,2230,3328,1920,1408,391,7,150,137,97,3050,146,568,1141,681,192,240,82,2336,322,487,349,41,461,282,25,1201,981,168,901,724,88,"34231","35124","33390","39263","43515","117834","130397","115224","121938","125297",5
403,"Trump",33829,"Warrick County, Indiana",62608,30560,32048,3505,4398,4079,4300,3121,6669,8518,8542,4195,4399,6447,3354,1081,41.5,14940,49696,47668,45635,13635,10882,47668,23164,24504,10882,5042,5840,62608,61602,1006,61602,57915,1147,54,0,0,0,0,1768,947,208,201,59,100,71,182,4,4,0,0,0,714,1006,317,254,122,0,58921,1473,317,1890,4,1018,1213,813,82,29,289,61395,57108,1147,54,1768,4,317,997,304,693,26309,46404,22521,23883,4463,630,1615,1787,431,43205,628,1907,12330,8885,5207,9089,5159,40670,14248,6669,6337,2691,8518,8164,3699,17136,16271,5315,10882,9898,2543,"51911","54111","56004","59014","61250","2138402","2237906","2413110","2385305","2411408",3
405,"Trump",45388,"Lafourche Parish, Louisiana",97980,47943,50037,6222,6536,6380,6386,5560,13975,11885,12820,6690,6364,8752,4704,1706,38.1,22773,77463,75207,71201,18617,15162,75207,36499,38708,15162,6774,8388,97980,95111,2869,95111,77040,13197,2306,81,0,0,0,495,67,10,29,29,7,345,8,47,0,47,0,0,2026,2869,891,1177,488,0,79812,14104,3609,1014,47,2293,4273,2527,86,93,1567,93707,75119,13146,2157,495,47,150,2593,21,2572,41535,73712,35629,38083,8311,1406,2940,3419,546,66896,5243,8053,27917,10871,3502,7628,3682,53600,11310,13975,11713,2794,11885,10532,2518,25874,20557,3695,15162,10798,2303,"43160","44360","44655","45735","47063","3866882","3934097","4162650","4226641","3874911",4
